Mass,Intensity,Charge,mz
5231.73629503207,47922.33,4.0,1308.68994253207
7649.98762503207,130247.8,5.0,1530.80378503207
6582.44658503207,60701.75,5.0,1317.29557703207
4758.50592503207,77502.56,4.0,1190.38235003207
3429.88508503207,107663.01,2.0,1715.4464550320702
3673.00630503207,47071.26,2.0,1837.0070650320702
7439.93636503207,112988.78,5.0,1488.79353303207
3673.0039050320697,78692.63,3.0,1225.0065183654033
5692.05859503207,39593.81,3.0,1898.0247483654034
1562.91235503207,25716.93,2.0,781.96009003207
7512.92967503207,102621.25,5.0,1503.39219503207
3394.79290503207,109283.86,3.0,1132.2695183654034
8187.36533503207,42364.76,5.0,1638.2793270320701
6641.46578503207,59292.03,4.0,1661.12231503207
1734.98252503207,26524.83,2.0,867.9951750320699
2305.23812503207,41436.46,2.0,1153.1229750320701
3422.7867950320697,75471.03,3.0,1141.60081503207
7763.07237503207,86720.72,5.0,1553.42073503207
6782.531825032071,103448.51,5.0,1357.3126250320702
7975.22354503207,116081.93,5.0,1595.85096903207
8214.35352503207,57844.74,5.0,1643.67696503207
5563.01650503207,38563.13,3.0,1855.0107183654034
3867.0569950320696,55905.46,3.0,1289.6908816987366
6303.353035032071,65025.62,4.0,1576.5941275320702
4253.28977503207,50568.99,4.0,1064.07831253207
4806.57756503207,168186.72,3.0,1602.86440503207
6684.46844503207,45938.92,4.0,1671.87298003207
3110.61892503207,30694.77,2.0,1555.81337503207
3188.74513503207,79009.8,2.0,1594.87648003207
3473.89828503207,19649.42,2.0,1737.45305503207
5913.14380503207,89617.32,4.0,1479.04182003207
1933.1085650320701,40966.6,2.0,967.05819503207
2212.19830503207,22405.99,2.0,1106.6030650320702
6912.58149503207,41056.04,4.0,1728.90124253207
4024.1647450320697,85437.85,3.0,1342.0601316987368
1303.7570750320701,45135.84,1.0,1303.7570750320701
6481.41234503207,49537.87,4.0,1621.10895503207
4888.55293503207,58474.17,3.0,1630.1895283654035
4989.65709503207,263929.94,4.0,1248.17014253207
4759.51775503207,41633.48,3.0,1587.1778016987369
5885.15403503207,69614.47,4.0,1472.04437753207
6656.476635032071,51099.88,4.0,1664.8750275320701
7599.00261503207,43652.24,5.0,1520.60678303207
3371.85765503207,34481.16,2.0,1686.4327400320701
8040.30203503207,85023.99,5.0,1608.8666670320702
6371.34437503207,33403.98,5.0,1275.07513503207
4394.29502503207,23671.1,4.0,1099.32962503207
8284.43658503207,83284.94,6.0,1381.5792850320702
6279.35143503207,49708.37,4.0,1570.59372753207
6065.22488503207,97332.76,4.0,1517.06209003207
5021.7338750320705,43394.22,3.0,1674.5831750320701
